timestamp_ms,F1,F2,F3,F4,F5,F6,label,label_name,F1n,F2n,F3n,F4n,F5n,F6n
10,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
225,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
362,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
470,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
577,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
685,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
792,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1008,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1115,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1223,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1331,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1466,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1574,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1681,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1788,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1896,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2004,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2111,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2219,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2327,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2434,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2569,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2677,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2784,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2895,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3004,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3111,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3219,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3326,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3434,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3570,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3678,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3785,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3892,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4000,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4108,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4215,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4323,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4430,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4538,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4672,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4780,0,0,0,0,0,0,0,SAFE,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
